date,subs,views,subs_techtrek,views_techtrek,followers_instagram,following_instagram,media_instagram,avg_likes_instagram,avg_comments_instagram,followers_twitter,following_twitter,tweets_twitter,favorites_twitter,followers_tiktok,following_tiktok,likes_tiktok,uploads_tiktok
2021-11-23,137000.0,8762535.0,2360.0,10970.0,4287.0,797.0,151.0,514.0,32.25,3441.0,175.0,483.0,691.0,,,,
2021-11-22,137000.0,8752414.0,2360.0,10937.0,4281.0,796.0,151.0,513.875,32.25,3437.0,175.0,483.0,692.0,,,,
2021-11-21,137000.0,8743426.0,2350.0,10895.0,4278.0,796.0,151.0,513.938,32.25,3432.0,175.0,483.0,693.0,,,,
2021-11-20,137000.0,8735206.0,2350.0,10849.0,4273.0,797.0,151.0,513.938,32.25,3430.0,175.0,483.0,693.0,,,,
2021-11-19,137000.0,8727094.0,2350.0,10802.0,4272.0,797.0,151.0,513.688,32.1875,3427.0,175.0,483.0,693.0,,,,
2021-11-18,136000.0,8717833.0,2350.0,10753.0,4263.0,797.0,151.0,513.688,32.1875,3427.0,175.0,483.0,693.0,,,,
2021-11-17,136000.0,8708477.0,2340.0,10716.0,4259.0,797.0,151.0,513.688,32.1875,3427.0,175.0,483.0,693.0,,,,
2021-11-16,136000.0,8699035.0,2340.0,10667.0,4255.0,797.0,151.0,513.688,32.1875,3421.0,175.0,483.0,693.0,,,,
2021-11-15,136000.0,8689294.0,2330.0,10625.0,4254.0,797.0,151.0,513.625,32.1875,3419.0,175.0,483.0,693.0,,,,
2021-11-14,136000.0,8680052.0,2320.0,10592.0,4255.0,796.0,151.0,513.625,32.1875,3417.0,175.0,483.0,693.0,,,,
2021-11-13,136000.0,8671410.0,2320.0,10559.0,4257.0,796.0,151.0,513.812,32.1875,3417.0,175.0,483.0,693.0,,,,
2021-11-12,136000.0,8663090.0,2320.0,10529.0,4258.0,798.0,151.0,513.688,32.1875,3414.0,175.0,483.0,693.0,,,,
